name	chrom	strand	TSS	geneId	geneName
ENSMUST00000185531.6	chr1	+	90998776	ENSMUSG00000026305.15	Lrrfip1
ENSMUST00000068116.12	chr1	+	90998778	ENSMUSG00000026305.15	Lrrfip1
ENSMUST00000068167.12	chr1	+	91053443	ENSMUSG00000026305.15	Lrrfip1
ENSMUST00000097649.9	chr1	+	91053453	ENSMUSG00000026305.15	Lrrfip1
ENSMUST00000186762.6	chr1	+	91053506	ENSMUSG00000026305.15	Lrrfip1
ENSMUST00000097650.9	chr1	+	91053506	ENSMUSG00000026305.15	Lrrfip1
ENSMUST00000189617.2	chr1	+	91053585	ENSMUSG00000026305.15	Lrrfip1
ENSMUST00000190116.6	chr1	-	93754780	ENSMUSG00000026279.14	Thap4
ENSMUST00000189728.6	chr1	-	93731926	ENSMUSG00000026279.14	Thap4
ENSMUST00000112905.3	chr1	-	93754864	ENSMUSG00000026279.14	Thap4
ENSMUST00000189472.1	chr1	-	93749954	ENSMUSG00000026279.14	Thap4
ENSMUST00000186341.1	chr1	+	117697130	ENSMUSG00000100265.1	Gm28363
ENSMUST00000187455.1	chr1	+	117830080	ENSMUSG00000100305.1	Gm28360
ENSMUST00000062483.14	chr1	-	119053619	ENSMUSG00000048402.14	Gli2
ENSMUST00000159839.7	chr1	-	119053339	ENSMUSG00000048402.14	Gli2
ENSMUST00000160991.7	chr1	-	119053339	ENSMUSG00000048402.14	Gli2
ENSMUST00000161056.7	chr1	-	119053339	ENSMUSG00000048402.14	Gli2
ENSMUST00000161301.7	chr1	-	119053339	ENSMUSG00000048402.14	Gli2
ENSMUST00000162552.7	chr1	-	119053339	ENSMUSG00000048402.14	Gli2
ENSMUST00000161451.7	chr1	-	119053339	ENSMUSG00000048402.14	Gli2
ENSMUST00000162607.1	chr1	-	119053339	ENSMUSG00000048402.14	Gli2
ENSMUST00000159678.2	chr1	-	118982588	ENSMUSG00000048402.14	Gli2
ENSMUST00000027740.13	chr1	-	155742027	ENSMUSG00000026468.14	Lhx4
ENSMUST00000195275.1	chr1	-	155751684	ENSMUSG00000026468.14	Lhx4
ENSMUST00000027859.11	chr1	-	165160773	ENSMUSG00000026572.11	Tbx19
ENSMUST00000161144.1	chr1	-	165153726	ENSMUSG00000026572.11	Tbx19
ENSMUST00000160260.8	chr1	-	166002678	ENSMUSG00000026565.18	Pou2f1
ENSMUST00000111429.10	chr1	-	166002609	ENSMUSG00000026565.18	Pou2f1
ENSMUST00000184643.7	chr1	-	166002618	ENSMUSG00000026565.18	Pou2f1
ENSMUST00000160908.7	chr1	-	166002622	ENSMUSG00000026565.18	Pou2f1
ENSMUST00000027850.14	chr1	-	166002629	ENSMUSG00000026565.18	Pou2f1
ENSMUST00000177472.1	chr1	-	166002615	ENSMUSG00000026565.18	Pou2f1
ENSMUST00000177358.7	chr1	-	166002613	ENSMUSG00000026565.18	Pou2f1
ENSMUST00000176101.1	chr1	-	166002629	ENSMUSG00000026565.18	Pou2f1
ENSMUST00000176800.1	chr1	-	166002609	ENSMUSG00000026565.18	Pou2f1
ENSMUST00000188912.6	chr1	-	168432270	ENSMUSG00000052534.15	Pbx1
ENSMUST00000176540.7	chr1	-	168431897	ENSMUSG00000052534.15	Pbx1
ENSMUST00000176790.7	chr1	-	168431750	ENSMUSG00000052534.15	Pbx1
ENSMUST00000064438.10	chr1	-	168431504	ENSMUSG00000052534.15	Pbx1
ENSMUST00000072863.5	chr1	-	168432169	ENSMUSG00000052534.15	Pbx1
ENSMUST00000176482.1	chr1	-	168431660	ENSMUSG00000052534.15	Pbx1
ENSMUST00000176791.1	chr1	-	168432169	ENSMUSG00000052534.15	Pbx1
ENSMUST00000027974.6	chr1	-	170867771	ENSMUSG00000026663.6	Atf6
ENSMUST00000027906.12	chr1	+	187997826	ENSMUSG00000026610.13	Esrrg
ENSMUST00000110938.1	chr1	+	187997867	ENSMUSG00000026610.13	Esrrg
ENSMUST00000194833.5	chr1	+	191097846	ENSMUSG00000026630.9	Batf3
ENSMUST00000193771.5	chr1	+	191097879	ENSMUSG00000026630.9	Batf3
ENSMUST00000027943.5	chr1	+	191098324	ENSMUSG00000026630.9	Batf3
ENSMUST00000192268.1	chr1	+	191098382	ENSMUSG00000026630.9	Batf3
ENSMUST00000191621.1	chr1	+	191100476	ENSMUSG00000026630.9	Batf3
ENSMUST00000027035.9	chr1	-	4496413	ENSMUSG00000025902.13	Sox17
ENSMUST00000195555.1	chr1	-	4496757	ENSMUSG00000025902.13	Sox17
ENSMUST00000192650.5	chr1	-	4497354	ENSMUSG00000025902.13	Sox17
ENSMUST00000116652.7	chr1	-	4496363	ENSMUSG00000025902.13	Sox17
ENSMUST00000192505.1	chr1	-	4493604	ENSMUSG00000025902.13	Sox17
ENSMUST00000191647.1	chr1	-	4496330	ENSMUSG00000025902.13	Sox17
ENSMUST00000191939.1	chr1	-	4493735	ENSMUSG00000025902.13	Sox17
ENSMUST00000192913.1	chr1	-	4496396	ENSMUSG00000025902.13	Sox17
ENSMUST00000139756.7	chr1	+	6730052	ENSMUSG00000033740.17	St18
ENSMUST00000131467.7	chr1	+	6730069	ENSMUSG00000033740.17	St18
ENSMUST00000139838.7	chr1	+	6734869	ENSMUSG00000033740.17	St18
ENSMUST00000132207.1	chr1	+	6802790	ENSMUSG00000033740.17	St18
ENSMUST00000142304.1	chr1	+	6817599	ENSMUSG00000033740.17	St18
ENSMUST00000151015.1	chr1	+	6827896	ENSMUSG00000033740.17	St18
ENSMUST00000130338.1	chr1	+	6857340	ENSMUSG00000033740.17	St18
ENSMUST00000160022.1	chr1	-	9678610	ENSMUSG00000025912.16	Mybl1
ENSMUST00000160451.1	chr1	-	9683452	ENSMUSG00000025912.16	Mybl1
ENSMUST00000047577.6	chr1	-	13127163	ENSMUSG00000042414.7	Prdm14
ENSMUST00000027062.6	chr1	-	14755990	ENSMUSG00000025930.6	Msc
ENSMUST00000190719.1	chr1	-	14755353	ENSMUSG00000025930.6	Msc
ENSMUST00000188982.1	chr1	-	14754665	ENSMUSG00000025930.6	Msc
ENSMUST00000190471.1	chr1	-	14755992	ENSMUSG00000025930.6	Msc
ENSMUST00000188371.6	chr1	+	15805645	ENSMUSG00000025925.14	Terf1
ENSMUST00000186565.6	chr1	+	15805656	ENSMUSG00000025925.14	Terf1
ENSMUST00000027057.7	chr1	+	15805663	ENSMUSG00000025925.14	Terf1
ENSMUST00000188684.1	chr1	+	15807640	ENSMUSG00000025925.14	Terf1
ENSMUST00000027059.10	chr1	+	19208913	ENSMUSG00000025927.13	Tfap2b
ENSMUST00000187754.6	chr1	+	19208959	ENSMUSG00000025927.13	Tfap2b
ENSMUST00000064976.5	chr1	+	19212053	ENSMUSG00000025927.13	Tfap2b
ENSMUST00000191068.1	chr1	+	19212305	ENSMUSG00000025927.13	Tfap2b
ENSMUST00000186972.1	chr1	+	19213878	ENSMUSG00000025927.13	Tfap2b
ENSMUST00000126413.7	chr1	+	36307732	ENSMUSG00000037447.16	Arid5a
ENSMUST00000142319.7	chr1	+	36307753	ENSMUSG00000037447.16	Arid5a
ENSMUST00000150747.7	chr1	+	36307753	ENSMUSG00000037447.16	Arid5a
ENSMUST00000145179.7	chr1	+	36307753	ENSMUSG00000037447.16	Arid5a
ENSMUST00000124280.7	chr1	+	36307753	ENSMUSG00000037447.16	Arid5a
ENSMUST00000097778.8	chr1	+	36307753	ENSMUSG00000037447.16	Arid5a
ENSMUST00000116629.8	chr1	+	36307753	ENSMUSG00000037447.16	Arid5a
ENSMUST00000115031.7	chr1	+	36307753	ENSMUSG00000037447.16	Arid5a
ENSMUST00000115032.7	chr1	+	36307753	ENSMUSG00000037447.16	Arid5a
ENSMUST00000137906.1	chr1	+	36307753	ENSMUSG00000037447.16	Arid5a
ENSMUST00000192874.1	chr1	+	36307757	ENSMUSG00000037447.16	Arid5a
ENSMUST00000115029.1	chr1	+	36307768	ENSMUSG00000037447.16	Arid5a
ENSMUST00000140218.1	chr1	+	36307778	ENSMUSG00000037447.16	Arid5a
ENSMUST00000147123.7	chr1	+	36315991	ENSMUSG00000037447.16	Arid5a
ENSMUST00000141121.1	chr1	+	36317026	ENSMUSG00000037447.16	Arid5a
ENSMUST00000136641.2	chr1	-	38197443	ENSMUSG00000037138.18	Aff3
ENSMUST00000173050.7	chr1	+	39193730	ENSMUSG00000026077.15	Npas2
ENSMUST00000172825.1	chr1	+	39341554	ENSMUSG00000026077.15	Npas2
ENSMUST00000126760.1	chr1	-	39691871	ENSMUSG00000057173.8	Rfx8
ENSMUST00000239323.1	chr1	+	42694924	ENSMUSG00000045515.4	Pou3f3
ENSMUST00000054883.3	chr1	+	42695767	ENSMUSG00000045515.4	Pou3f3
ENSMUST00000187554.1	chr1	+	52105448	ENSMUSG00000062939.11	Stat4
ENSMUST00000186574.6	chr1	+	52119439	ENSMUSG00000026104.14	Stat1
ENSMUST00000070968.13	chr1	+	52119454	ENSMUSG00000026104.14	Stat1
ENSMUST00000191435.6	chr1	+	52119489	ENSMUSG00000026104.14	Stat1
ENSMUST00000186857.6	chr1	+	52119491	ENSMUSG00000026104.14	Stat1
ENSMUST00000188681.6	chr1	+	52119497	ENSMUSG00000026104.14	Stat1
ENSMUST00000189347.6	chr1	+	52119548	ENSMUSG00000026104.14	Stat1
ENSMUST00000186186.1	chr1	+	52119558	ENSMUSG00000026104.14	Stat1
ENSMUST00000185743.1	chr1	+	52119571	ENSMUSG00000026104.14	Stat1
ENSMUST00000186057.6	chr1	+	52119623	ENSMUSG00000026104.14	Stat1
ENSMUST00000189075.1	chr1	+	52150103	ENSMUSG00000026104.14	Stat1
ENSMUST00000189244.6	chr1	+	52150257	ENSMUSG00000026104.14	Stat1
ENSMUST00000189336.1	chr1	+	52152252	ENSMUSG00000026104.14	Stat1
ENSMUST00000142922.1	chr1	-	53296967	ENSMUSG00000026098.13	Pms1
ENSMUST00000128337.7	chr1	-	53296975	ENSMUSG00000026098.13	Pms1
ENSMUST00000133358.1	chr1	-	53282408	ENSMUSG00000026098.13	Pms1
ENSMUST00000126590.1	chr1	-	53297015	ENSMUSG00000026098.13	Pms1
ENSMUST00000126412.1	chr1	-	53297015	ENSMUSG00000026098.13	Pms1
ENSMUST00000188890.1	chr1	-	53297015	ENSMUSG00000026098.13	Pms1
ENSMUST00000062085.5	chr1	-	56637435	ENSMUSG00000045336.5	Hsfy2
ENSMUST00000176759.1	chr1	-	56969840	ENSMUSG00000038331.15	Satb2
ENSMUST00000177282.1	chr1	-	56978650	ENSMUSG00000038331.15	Satb2
ENSMUST00000130075.7	chr1	+	60098246	ENSMUSG00000026017.13	Carf
ENSMUST00000150008.7	chr1	+	60098263	ENSMUSG00000026017.13	Carf
ENSMUST00000124986.7	chr1	+	60098263	ENSMUSG00000026017.13	Carf
ENSMUST00000191232.1	chr1	+	60101245	ENSMUSG00000026017.13	Carf
ENSMUST00000187978.6	chr1	+	60105343	ENSMUSG00000026017.13	Carf
ENSMUST00000180952.7	chr1	+	60108080	ENSMUSG00000026017.13	Carf
ENSMUST00000027171.11	chr1	+	60108101	ENSMUSG00000026017.13	Carf
ENSMUST00000186107.6	chr1	+	60108101	ENSMUSG00000026017.13	Carf
ENSMUST00000186779.1	chr1	+	60139795	ENSMUSG00000026017.13	Carf
ENSMUST00000132949.2	chr1	+	60141447	ENSMUSG00000026017.13	Carf
ENSMUST00000185594.6	chr1	+	64532644	ENSMUSG00000025958.14	Creb1
ENSMUST00000171164.7	chr1	+	64532796	ENSMUSG00000025958.14	Creb1
ENSMUST00000188855.6	chr1	+	64532803	ENSMUSG00000025958.14	Creb1
ENSMUST00000187811.6	chr1	+	64532808	ENSMUSG00000025958.14	Creb1
ENSMUST00000049932.11	chr1	+	64532808	ENSMUSG00000025958.14	Creb1
ENSMUST00000087366.10	chr1	+	64532818	ENSMUSG00000025958.14	Creb1
ENSMUST00000186335.6	chr1	+	64532831	ENSMUSG00000025958.14	Creb1
ENSMUST00000190876.6	chr1	+	64532858	ENSMUSG00000025958.14	Creb1
ENSMUST00000190348.1	chr1	+	64532893	ENSMUSG00000025958.14	Creb1
ENSMUST00000187035.1	chr1	+	64560924	ENSMUSG00000025958.14	Creb1
ENSMUST00000190979.1	chr1	+	64576387	ENSMUSG00000025958.14	Creb1
ENSMUST00000187870.1	chr1	-	69684536	ENSMUSG00000025997.13	Ikzf2
ENSMUST00000188919.1	chr1	-	69687140	ENSMUSG00000025997.13	Ikzf2
ENSMUST00000145868.7	chr1	+	72583250	ENSMUSG00000039354.16	Smarcal1
ENSMUST00000133123.7	chr1	+	72583250	ENSMUSG00000039354.16	Smarcal1
ENSMUST00000152814.7	chr1	+	72583250	ENSMUSG00000039354.16	Smarcal1
ENSMUST00000156797.7	chr1	+	72583250	ENSMUSG00000039354.16	Smarcal1
ENSMUST00000126832.1	chr1	+	72616521	ENSMUSG00000039354.16	Smarcal1
ENSMUST00000136865.7	chr1	-	74588195	ENSMUSG00000026135.17	Zfp142
ENSMUST00000130112.1	chr1	-	74587952	ENSMUSG00000026135.17	Zfp142
ENSMUST00000147011.2	chr1	-	74588133	ENSMUSG00000026135.17	Zfp142
ENSMUST00000068631.3	chr1	-	74885419	ENSMUSG00000055197.4	Fev
ENSMUST00000159232.1	chr1	-	74885322	ENSMUSG00000055197.4	Fev
ENSMUST00000162938.1	chr1	-	74884608	ENSMUSG00000055197.4	Fev
ENSMUST00000172555.1	chr1	-	78197113	ENSMUSG00000004872.15	Pax3
ENSMUST00000128339.7	chr1	-	85589191	ENSMUSG00000070034.13	Sp110
ENSMUST00000186740.1	chr1	-	85584278	ENSMUSG00000070034.13	Sp110
ENSMUST00000143363.7	chr1	-	85598779	ENSMUSG00000070034.13	Sp110
ENSMUST00000152399.7	chr1	-	85598779	ENSMUSG00000070034.13	Sp110
ENSMUST00000151690.7	chr1	-	85598779	ENSMUSG00000070034.13	Sp110
ENSMUST00000150114.7	chr1	-	85598779	ENSMUSG00000070034.13	Sp110
ENSMUST00000130727.1	chr1	-	85598779	ENSMUSG00000070034.13	Sp110
ENSMUST00000113385.2	chr1	+	85600377	ENSMUSG00000070031.11	Sp140
ENSMUST00000080204.10	chr1	+	85600702	ENSMUSG00000070031.11	Sp140
ENSMUST00000162925.1	chr1	+	85610832	ENSMUSG00000070031.11	Sp140
ENSMUST00000161497.1	chr1	+	85632477	ENSMUSG00000070031.11	Sp140
ENSMUST00000159234.1	chr1	+	85635383	ENSMUSG00000070031.11	Sp140
ENSMUST00000160119.1	chr1	+	85642988	ENSMUSG00000070031.11	Sp140
ENSMUST00000141998.1	chr1	+	85649987	ENSMUSG00000026222.16	Sp100
ENSMUST00000155094.7	chr1	+	85649987	ENSMUSG00000026222.16	Sp100
ENSMUST00000145440.7	chr1	+	85650007	ENSMUSG00000026222.16	Sp100
ENSMUST00000054279.14	chr1	+	85650013	ENSMUSG00000026222.16	Sp100
ENSMUST00000147552.7	chr1	+	85650013	ENSMUSG00000026222.16	Sp100
ENSMUST00000153574.7	chr1	+	85650013	ENSMUSG00000026222.16	Sp100
ENSMUST00000150967.7	chr1	+	85650014	ENSMUSG00000026222.16	Sp100
ENSMUST00000066427.10	chr1	+	85650049	ENSMUSG00000026222.16	Sp100
ENSMUST00000129951.7	chr1	+	85671824	ENSMUSG00000026222.16	Sp100
ENSMUST00000140758.1	chr1	+	85673716	ENSMUSG00000026222.16	Sp100
ENSMUST00000134283.1	chr1	+	85693938	ENSMUSG00000026222.16	Sp100
ENSMUST00000132641.7	chr1	+	85694296	ENSMUSG00000026222.16	Sp100
ENSMUST00000141709.1	chr1	+	85703441	ENSMUSG00000026222.16	Sp100
ENSMUST00000036954.8	chr1	-	89931179	ENSMUSG00000034486.8	Gbx2
ENSMUST00000187633.1	chr1	-	89929185	ENSMUSG00000034486.8	Gbx2
ENSMUST00000188094.6	chr1	+	91111213	ENSMUSG00000026305.15	Lrrfip1
ENSMUST00000188708.1	chr1	+	91111232	ENSMUSG00000026305.15	Lrrfip1
ENSMUST00000187375.1	chr1	+	91119959	ENSMUSG00000026305.15	Lrrfip1
ENSMUST00000187532.1	chr1	+	91125355	ENSMUSG00000026305.15	Lrrfip1
ENSMUST00000132188.7	chr1	-	91413208	ENSMUSG00000067071.8	Hes6
ENSMUST00000086851.1	chr1	-	91413222	ENSMUSG00000067071.8	Hes6
ENSMUST00000126136.7	chr1	-	91413222	ENSMUSG00000067071.8	Hes6
ENSMUST00000155752.1	chr1	-	91413208	ENSMUSG00000067071.8	Hes6
ENSMUST00000150520.1	chr1	-	91414038	ENSMUSG00000067071.8	Hes6
ENSMUST00000007949.3	chr1	+	91801460	ENSMUSG00000007805.4	Twist2
ENSMUST00000186075.1	chr1	+	91801469	ENSMUSG00000007805.4	Twist2
ENSMUST00000187445.1	chr1	-	93714982	ENSMUSG00000026279.14	Thap4
ENSMUST00000189173.1	chr1	-	93754650	ENSMUSG00000026279.14	Thap4
ENSMUST00000179777.2	chr1	+	116802982	ENSMUSG00000094429.2	Gm19965
ENSMUST00000188801.1	chr1	+	117781132	ENSMUSG00000101303.1	B020011L13Rik
ENSMUST00000191265.1	chr1	+	117928014	ENSMUSG00000101415.1	Gm28168
ENSMUST00000185381.1	chr1	+	117965938	ENSMUSG00000100617.1	Gm7145
ENSMUST00000186264.1	chr1	+	118176541	ENSMUSG00000102030.1	Gm29106
ENSMUST00000190652.1	chr1	+	118627944	ENSMUSG00000026380.10	Tfcp2l1
ENSMUST00000027629.9	chr1	+	118627945	ENSMUSG00000026380.10	Tfcp2l1
ENSMUST00000079721.8	chr1	+	120602417	ENSMUSG00000058665.8	En1
ENSMUST00000086556.11	chr1	+	132007606	ENSMUSG00000026436.15	Elk4
ENSMUST00000027696.9	chr1	+	132007875	ENSMUSG00000026436.15	Elk4
ENSMUST00000146188.1	chr1	+	132008098	ENSMUSG00000026436.15	Elk4
ENSMUST00000124579.1	chr1	+	132008108	ENSMUSG00000026436.15	Elk4
ENSMUST00000146432.1	chr1	+	132008296	ENSMUSG00000026436.15	Elk4
ENSMUST00000147218.1	chr1	+	132017807	ENSMUSG00000026436.15	Elk4
ENSMUST00000131159.2	chr1	+	132018442	ENSMUSG00000026436.15	Elk4
ENSMUST00000144386.7	chr1	-	133393218	ENSMUSG00000070643.11	Sox13
ENSMUST00000153799.7	chr1	-	133424377	ENSMUSG00000070643.11	Sox13
ENSMUST00000094551.4	chr1	-	133393270	ENSMUSG00000070643.11	Sox13
ENSMUST00000145922.1	chr1	-	133385526	ENSMUSG00000070643.11	Sox13
ENSMUST00000126530.1	chr1	-	133386434	ENSMUSG00000070643.11	Sox13
ENSMUST00000179598.3	chr1	-	133661318	ENSMUSG00000094410.8	Gm38394
ENSMUST00000027730.5	chr1	+	134289988	ENSMUSG00000026459.5	Myog
ENSMUST00000003135.13	chr1	-	135258568	ENSMUSG00000003051.13	Elf3
ENSMUST00000185752.1	chr1	-	135258438	ENSMUSG00000003051.13	Elf3
ENSMUST00000188895.1	chr1	-	135257649	ENSMUSG00000003051.13	Elf3
ENSMUST00000180436.1	chr1	+	136050803	ENSMUSG00000097918.1	Ascl5
ENSMUST00000047734.14	chr1	+	136624900	ENSMUSG00000041483.14	Zfp281
ENSMUST00000112046.1	chr1	+	136624900	ENSMUSG00000041483.14	Zfp281
ENSMUST00000027649.13	chr1	-	136960448	ENSMUSG00000026398.14	Nr5a2
ENSMUST00000168126.6	chr1	-	136949562	ENSMUSG00000026398.14	Nr5a2
ENSMUST00000192357.5	chr1	-	136960380	ENSMUSG00000026398.14	Nr5a2
ENSMUST00000192929.5	chr1	-	136953630	ENSMUSG00000026398.14	Nr5a2
ENSMUST00000192587.1	chr1	-	136940583	ENSMUSG00000026398.14	Nr5a2
ENSMUST00000195428.1	chr1	-	136949173	ENSMUSG00000026398.14	Nr5a2
ENSMUST00000019374.13	chr1	-	138842457	ENSMUSG00000019230.14	Lhx9
ENSMUST00000093486.9	chr1	-	138847579	ENSMUSG00000019230.14	Lhx9
ENSMUST00000112030.8	chr1	-	138848577	ENSMUSG00000019230.14	Lhx9
ENSMUST00000046870.12	chr1	-	138847719	ENSMUSG00000019230.14	Lhx9
ENSMUST00000112026.3	chr1	-	138842429	ENSMUSG00000019230.14	Lhx9
ENSMUST00000192425.1	chr1	-	138833659	ENSMUSG00000019230.14	Lhx9
ENSMUST00000194557.1	chr1	-	138842454	ENSMUSG00000019230.14	Lhx9
ENSMUST00000200243.4	chr1	+	139422287	ENSMUSG00000033964.12	Zbtb41
ENSMUST00000039867.9	chr1	+	139422381	ENSMUSG00000033964.12	Zbtb41
ENSMUST00000199011.1	chr1	+	139423653	ENSMUSG00000033964.12	Zbtb41
ENSMUST00000086195.6	chr1	+	154201186	ENSMUSG00000066797.6	Zfp648
ENSMUST00000162226.8	chr1	-	161034849	ENSMUSG00000043467.19	Zbtb37
ENSMUST00000163079.8	chr1	-	161034849	ENSMUSG00000043467.19	Zbtb37
ENSMUST00000160056.8	chr1	-	161034834	ENSMUSG00000043467.19	Zbtb37
ENSMUST00000172044.7	chr1	-	161034259	ENSMUSG00000043467.19	Zbtb37
ENSMUST00000159250.8	chr1	-	161034848	ENSMUSG00000043467.19	Zbtb37
ENSMUST00000171748.2	chr1	-	161034284	ENSMUSG00000043467.19	Zbtb37
ENSMUST00000177003.1	chr1	-	161034816	ENSMUSG00000043467.19	Zbtb37
ENSMUST00000075805.12	chr1	-	163313672	ENSMUSG00000026586.16	Prrx1
ENSMUST00000027878.13	chr1	-	163313710	ENSMUSG00000026586.16	Prrx1
ENSMUST00000183691.2	chr1	-	163289224	ENSMUSG00000026586.16	Prrx1
ENSMUST00000174397.2	chr1	-	163313668	ENSMUSG00000026586.16	Prrx1
ENSMUST00000174098.1	chr1	-	163313671	ENSMUSG00000026586.16	Prrx1
ENSMUST00000027866.10	chr1	-	164307484	ENSMUSG00000026577.13	Blzf1
ENSMUST00000120447.7	chr1	-	164307489	ENSMUSG00000026577.13	Blzf1
ENSMUST00000086032.3	chr1	-	164307489	ENSMUSG00000026577.13	Blzf1
ENSMUST00000124007.1	chr1	-	164307272	ENSMUSG00000026577.13	Blzf1
ENSMUST00000148884.1	chr1	-	164307471	ENSMUSG00000026577.13	Blzf1
ENSMUST00000161777.7	chr1	-	165149694	ENSMUSG00000026572.11	Tbx19
ENSMUST00000160350.1	chr1	-	165149379	ENSMUSG00000026572.11	Tbx19
ENSMUST00000111427.8	chr1	-	165934948	ENSMUSG00000026565.18	Pou2f1
ENSMUST00000159212.8	chr1	-	165913283	ENSMUSG00000026565.18	Pou2f1
ENSMUST00000111426.10	chr1	-	165934948	ENSMUSG00000026565.18	Pou2f1
ENSMUST00000184799.1	chr1	-	165880160	ENSMUSG00000026565.18	Pou2f1
ENSMUST00000194366.5	chr1	-	165880160	ENSMUSG00000026565.18	Pou2f1
ENSMUST00000176004.1	chr1	-	165892119	ENSMUSG00000026565.18	Pou2f1
