Ensembl	Symbol	Family	Protein	Entrez ID
ENSMUSG00000048540	Nhlh2	bHLH	ENSMUSP00000143362;ENSMUSP00000064355;ENSMUSP00000142746;	18072
ENSMUSG00000040187	Arntl2	bHLH	ENSMUSP00000107265;ENSMUSP00000107263;ENSMUSP00000121170;ENSMUSP00000107266;ENSMUSP00000079373;	272322
ENSMUSG00000020647	Ncoa1	bHLH	ENSMUSP00000151358;ENSMUSP00000082971;ENSMUSP00000151716;	17977
ENSMUSG00000023781	Hes7	bHLH	ENSMUSP00000024543;	84653
ENSMUSG00000052271	Bhlha15	bHLH	ENSMUSP00000055493;	17341
ENSMUSG00000030103	Bhlhe40	bHLH	ENSMUSP00000132157;ENSMUSP00000032194;	20893
ENSMUSG00000021379	Id4	bHLH	ENSMUSP00000021810;	15904
ENSMUSG00000037335	Hand1	bHLH	ENSMUSP00000046999;ENSMUSP00000124951;	15110
ENSMUSG00000022463	Srebf2	bHLH	ENSMUSP00000155022;ENSMUSP00000023100;	20788
ENSMUSG00000045903	Npas4	bHLH	ENSMUSP00000062992;	225872
ENSMUSG00000030001	Figla	bHLH	ENSMUSP00000032070;	26910
ENSMUSG00000026459	Myog	bHLH	ENSMUSP00000027730;	17928
ENSMUSG00000037235	Mxd4	bHLH	ENSMUSP00000039071;ENSMUSP00000113300;	17122
ENSMUSG00000031885	Cbfb	CBF	ENSMUSP00000105022;ENSMUSP00000105021;ENSMUSP00000105019;ENSMUSP00000059382;	12400
ENSMUSG00000040712	Camta2	CG-1	ENSMUSP00000043792;ENSMUSP00000113847;ENSMUSP00000104184;ENSMUSP00000123602;ENSMUSP00000113667;ENSMUSP00000098493;ENSMUSP00000104185;	216874
ENSMUSG00000014592	Camta1	CG-1	ENSMUSP00000054804;ENSMUSP00000127916;ENSMUSP00000095381;	100072
ENSMUSG00000010476	Ebf3	COE	ENSMUSP00000101724;ENSMUSP00000033378;ENSMUSP00000147829;ENSMUSP00000130334;ENSMUSP00000132563;ENSMUSP00000147512;	13593
ENSMUSG00000022053	Ebf2	COE	ENSMUSP00000135782;ENSMUSP00000022637;ENSMUSP00000135500;	13592
ENSMUSG00000057098	Ebf1	COE	ENSMUSP00000099857;ENSMUSP00000104891;ENSMUSP00000080020;	13591
ENSMUSG00000053552	Ebf4	COE	ENSMUSP00000105916;ENSMUSP00000105917;ENSMUSP00000134520;ENSMUSP00000133528;ENSMUSP00000105915;	228598
ENSMUSG00000022286	Grhl2	CP2	ENSMUSP00000125410;ENSMUSP00000022895;	252973
ENSMUSG00000020656	Grhl1	CP2	ENSMUSP00000082689;ENSMUSP00000020985;	195733
ENSMUSG00000009741	Ubp1	CP2	ENSMUSP00000112192;ENSMUSP00000009885;ENSMUSP00000150023;ENSMUSP00000149908;ENSMUSP00000081946;	22221
ENSMUSG00000026380	Tfcp2l1	CP2	ENSMUSP00000027629;	81879
ENSMUSG00000009733	Tfcp2	CP2	ENSMUSP00000155581;ENSMUSP00000009877;ENSMUSP00000155770;ENSMUSP00000155683;	21422
ENSMUSG00000037188	Grhl3	CP2	ENSMUSP00000101481;	230824
ENSMUSG00000030189	Ybx3	CSD	ENSMUSP00000085172;ENSMUSP00000032309;	56449
ENSMUSG00000028639	Ybx1	CSD	ENSMUSP00000078589;	22608
ENSMUSG00000008393	Carhsp1	CSD	ENSMUSP00000008537;	52502
ENSMUSG00000018554	Ybx2	CSD	ENSMUSP00000018698;ENSMUSP00000104242;	53422
ENSMUSG00000068823	Csde1	CSD	ENSMUSP00000143503;ENSMUSP00000143050;ENSMUSP00000143028;ENSMUSP00000143524;ENSMUSP00000142647;ENSMUSP00000142703;ENSMUSP00000142395;ENSMUSP00000142983;ENSMUSP00000029446;	229663
ENSMUSG00000050966	Lin28a	CSD	ENSMUSP00000135736;ENSMUSP00000050488;ENSMUSP00000135608;ENSMUSP00000135254;	83557
ENSMUSG00000042109	Csdc2	CSD	ENSMUSP00000044441;	105859
ENSMUSG00000063804	Lin28b	CSD	ENSMUSP00000078361;	380669
ENSMUSG00000017007	Rbpjl	CSL	ENSMUSP00000017151;	19668
ENSMUSG00000039191	Rbpj	CSL	ENSMUSP00000109496;ENSMUSP00000143866;ENSMUSP00000143846;ENSMUSP00000040694;ENSMUSP00000084618;	19664
ENSMUSG00000032515	Csrnp1	CSRNP_N	ENSMUSP00000149632;ENSMUSP00000149214;ENSMUSP00000035101;ENSMUSP00000150628;	215418
ENSMUSG00000044636	Csrnp2	CSRNP_N	ENSMUSP00000052144;	207785
ENSMUSG00000044647	Csrnp3	CSRNP_N	ENSMUSP00000055719;ENSMUSP00000135019;ENSMUSP00000117533;ENSMUSP00000135605;ENSMUSP00000108013;	77771
ENSMUSG00000001911	Nfix	CTF/NFI	ENSMUSP00000076005;ENSMUSP00000105386;ENSMUSP00000105384;ENSMUSP00000096669;ENSMUSP00000115691;	18032
ENSMUSG00000008575	Nfib	CTF/NFI	ENSMUSP00000102868;ENSMUSP00000052863;ENSMUSP00000067629;ENSMUSP00000102865;ENSMUSP00000102866;ENSMUSP00000123169;ENSMUSP00000102869;	18028
ENSMUSG00000028565	Nfia	CTF/NFI	ENSMUSP00000102672;ENSMUSP00000122641;ENSMUSP00000130032;ENSMUSP00000114880;ENSMUSP00000074899;ENSMUSP00000099856;ENSMUSP00000102677;	18027
ENSMUSG00000055053	Nfic	CTF/NFI	ENSMUSP00000100958;ENSMUSP00000113046;ENSMUSP00000020461;ENSMUSP00000077317;ENSMUSP00000114469;ENSMUSP00000152790;	18029
ENSMUSG00000042589	Cux2	CUT	ENSMUSP00000130302;ENSMUSP00000107381;ENSMUSP00000083497;	13048
ENSMUSG00000023927	Satb1	CUT	ENSMUSP00000128841;ENSMUSP00000118839;ENSMUSP00000116020;ENSMUSP00000119842;ENSMUSP00000116006;ENSMUSP00000134957;ENSMUSP00000120536;	20230
ENSMUSG00000029705	Cux1	CUT	ENSMUSP00000004097;ENSMUSP00000135086;ENSMUSP00000135892;ENSMUSP00000135223;ENSMUSP00000135370;	13047
ENSMUSG00000045518	Onecut3	CUT	ENSMUSP00000053288;	246086
ENSMUSG00000038331	Satb2	CUT	ENSMUSP00000046067;ENSMUSP00000110057;ENSMUSP00000135391;	212712
ENSMUSG00000045991	Onecut2	CUT	ENSMUSP00000135692;ENSMUSP00000110798;	225631
ENSMUSG00000043013	Onecut1	CUT	ENSMUSP00000058020;	15379
ENSMUSG00000025592	Dach2	DACH	ENSMUSP00000109009;ENSMUSP00000109005;ENSMUSP00000109007;ENSMUSP00000064393;ENSMUSP00000109006;	93837
ENSMUSG00000055639	Dach1	DACH	ENSMUSP00000064970;ENSMUSP00000071464;	13134
ENSMUSG00000024837	Dmrt1	DM	ENSMUSP00000025755;ENSMUSP00000084803;	50796
ENSMUSG00000011349	Dmrtc2	DM	ENSMUSP00000011493;	71241
ENSMUSG00000043753	Dmrta1	DM	ENSMUSP00000057488;	242523
ENSMUSG00000047143	Dmrta2	DM	ENSMUSP00000060441;	242620
ENSMUSG00000042372	Dmrt3	DM	ENSMUSP00000046812;	240590
ENSMUSG00000048138	Dmrt2	DM	ENSMUSP00000059654;	226049
ENSMUSG00000028610	Dmrtb1	DM	ENSMUSP00000064220;	56296
ENSMUSG00000027552	E2f5	E2F	ENSMUSP00000029069;ENSMUSP00000127877;	13559
ENSMUSG00000016477	E2f3	E2F	ENSMUSP00000152782;ENSMUSP00000100012;ENSMUSP00000152368;	13557
ENSMUSG00000027490	E2f1	E2F	ENSMUSP00000099434;ENSMUSP00000000894;	13555
ENSMUSG00000046179	E2f8	E2F	ENSMUSP00000112883;ENSMUSP00000056778;	108961
ENSMUSG00000032411	Tfdp2	E2F	ENSMUSP00000128260;ENSMUSP00000139891;ENSMUSP00000132934;ENSMUSP00000141084;ENSMUSP00000137176;ENSMUSP00000139926;ENSMUSP00000140359;ENSMUSP00000140061;ENSMUSP00000034982;ENSMUSP00000136817;ENSMUSP00000139848;	211586
ENSMUSG00000018983	E2f2	E2F	ENSMUSP00000050047;	242705
ENSMUSG00000057469	E2f6	E2F	ENSMUSP00000020908;	50496
ENSMUSG00000014859	E2f4	E2F	ENSMUSP00000015003;	104394
ENSMUSG00000038482	Tfdp1	E2F	ENSMUSP00000147601;ENSMUSP00000147345;ENSMUSP00000147881;ENSMUSP00000127952;ENSMUSP00000147662;	21781
ENSMUSG00000020185	E2f7	E2F	ENSMUSP00000133494;ENSMUSP00000134039;ENSMUSP00000073453;	52679
ENSMUSG00000021055	Esr2	ESR-like	ENSMUSP00000106051;ENSMUSP00000098849;ENSMUSP00000138637;ENSMUSP00000075932;ENSMUSP00000151463;	13983
ENSMUSG00000019768	Esr1	ESR-like	ENSMUSP00000070070;ENSMUSP00000101213;ENSMUSP00000101215;ENSMUSP00000101214;	13982
ENSMUSG00000031618	Nr3c2	ESR-like	ENSMUSP00000118222;ENSMUSP00000105537;ENSMUSP00000105538;ENSMUSP00000034031;ENSMUSP00000105539;	110784
ENSMUSG00000031870	Pgr	ESR-like	ENSMUSP00000096584;ENSMUSP00000063562;ENSMUSP00000140124;	18667
ENSMUSG00000024431	Nr3c1	ESR-like	ENSMUSP00000111229;ENSMUSP00000095199;ENSMUSP00000120082;ENSMUSP00000111233;ENSMUSP00000025300;	14815
ENSMUSG00000024955	Esrra	ESR-like	ENSMUSP00000025906;ENSMUSP00000134587;ENSMUSP00000133916;	26379
ENSMUSG00000026610	Esrrg	ESR-like	ENSMUSP00000106563;ENSMUSP00000106564;ENSMUSP00000027906;	26381
ENSMUSG00000046532	Ar	ESR-like	ENSMUSP00000052648;	11835
ENSMUSG00000021255	Esrrb	ESR-like	ENSMUSP00000105833;ENSMUSP00000105832;ENSMUSP00000021680;ENSMUSP00000112103;ENSMUSP00000131335;	26380
ENSMUSG00000032035	Ets1	ETS	ENSMUSP00000051303;ENSMUSP00000139107;ENSMUSP00000034534;	23871
ENSMUSG00000037174	Elf2	ETS	ENSMUSP00000141197;ENSMUSP00000126871;ENSMUSP00000103688;ENSMUSP00000061076;ENSMUSP00000103686;ENSMUSP00000088678;	69257
ENSMUSG00000008976	Gabpa	ETS	ENSMUSP00000109822;ENSMUSP00000009120;	14390
ENSMUSG00000002111	Spi1	ETS	ENSMUSP00000002180;	20375
ENSMUSG00000009406	Elk1	ETS	ENSMUSP00000009550;	13712
ENSMUSG00000004359	Spic	ETS	ENSMUSP00000118799;ENSMUSP00000004473;	20728
ENSMUSG00000006311	Etv2	ETS	ENSMUSP00000103782;	14008
ENSMUSG00000040857	Erf	ETS	ENSMUSP00000112046;ENSMUSP00000041912;	13875
ENSMUSG00000008398	Elk3	ETS	ENSMUSP00000152060;ENSMUSP00000121754;ENSMUSP00000008542;ENSMUSP00000122324;	13713
ENSMUSG00000026436	Elk4	ETS	ENSMUSP00000118880;ENSMUSP00000027696;ENSMUSP00000083743;	13714
ENSMUSG00000108367	Gm4881	ETS	ENSMUSP00000146932;	232974
ENSMUSG00000003051	Elf3	ETS	ENSMUSP00000139769;ENSMUSP00000003135;	13710
ENSMUSG00000055197	Fev	ETS	ENSMUSP00000125067;ENSMUSP00000070878;	260298
ENSMUSG00000040732	Erg	ETS	ENSMUSP00000132766;ENSMUSP00000112698;ENSMUSP00000134930;ENSMUSP00000109479;ENSMUSP00000076949;ENSMUSP00000135568;ENSMUSP00000109477;ENSMUSP00000113723;ENSMUSP00000114072;	13876
ENSMUSG00000008193	Spib	ETS	ENSMUSP00000145968;ENSMUSP00000035539;ENSMUSP00000096084;	272382
ENSMUSG00000024215	Spdef	ETS	ENSMUSP00000110520;ENSMUSP00000127056;ENSMUSP00000025054;	30051
ENSMUSG00000016087	Fli1	ETS	ENSMUSP00000016231;	14247
ENSMUSG00000003382	Etv3	ETS	ENSMUSP00000127419;ENSMUSP00000112915;ENSMUSP00000114047;	27049
ENSMUSG00000004151	Etv1	ETS	ENSMUSP00000093442;ENSMUSP00000125733;ENSMUSP00000125157;ENSMUSP00000125676;ENSMUSP00000125692;ENSMUSP00000124736;ENSMUSP00000124019;	14009
ENSMUSG00000022895	Ets2	ETS	ENSMUSP00000023612;	23872
ENSMUSG00000017724	Etv4	ETS	ENSMUSP00000102794;ENSMUSP00000017868;ENSMUSP00000129261;	18612
ENSMUSG00000036461	Elf1	ETS	ENSMUSP00000046515;ENSMUSP00000153956;ENSMUSP00000106459;	13709
ENSMUSG00000031103	Elf4	ETS	ENSMUSP00000110608;ENSMUSP00000118436;ENSMUSP00000033429;	56501
ENSMUSG00000030199	Etv6	ETS	ENSMUSP00000107594;ENSMUSP00000079818;	14011
ENSMUSG00000027186	Elf5	ETS	ENSMUSP00000131940;ENSMUSP00000126941;ENSMUSP00000028609;ENSMUSP00000118565;	13711
ENSMUSG00000012350	Ehf	ETS	ENSMUSP00000106807;ENSMUSP00000106805;ENSMUSP00000087961;	13661
ENSMUSG00000013089	Etv5	ETS	ENSMUSP00000078551;ENSMUSP00000131791;	104156
ENSMUSG00000094504	Gm5294	Fork_head	ENSMUSP00000137099;	384244
ENSMUSG00000040891	Foxa3	Fork_head	ENSMUSP00000043173;	15377
ENSMUSG00000046714	Foxc2	Fork_head	ENSMUSP00000055290;	14234
ENSMUSG00000116496	AC113536.1	Fork_head	ENSMUSP00000155732;ENSMUSP00000155520;ENSMUSP00000155078;ENSMUSP00000155120;	-
ENSMUSG00000047861	Foxi1	Fork_head	ENSMUSP00000058651;	14233
ENSMUSG00000037025	Foxa2	Fork_head	ENSMUSP00000105590;ENSMUSP00000134081;ENSMUSP00000045918;	15376
ENSMUSG00000038415	Foxq1	Fork_head	ENSMUSP00000036952;	15220
ENSMUSG00000042903	Foxo4	Fork_head	ENSMUSP00000116165;ENSMUSP00000059420;	54601
ENSMUSG00000020950	Foxg1	Fork_head	ENSMUSP00000021333;ENSMUSP00000136372;	15228
ENSMUSG00000044167	Foxo1	Fork_head	ENSMUSP00000055308;	56458
ENSMUSG00000003154	Foxj2	Fork_head	ENSMUSP00000137645;ENSMUSP00000003238;ENSMUSP00000145438;	60611
ENSMUSG00000048756	Foxo3	Fork_head	ENSMUSP00000135380;ENSMUSP00000101140;ENSMUSP00000050683;ENSMUSP00000101141;	56484
ENSMUSG00000070990	Foxe1	Fork_head	ENSMUSP00000092715;	110805
ENSMUSG00000002057	Foxn1	Fork_head	ENSMUSP00000103929;	15218
ENSMUSG00000030067	Foxp1	Fork_head	ENSMUSP00000135041;ENSMUSP00000108952;ENSMUSP00000108954;ENSMUSP00000135098;ENSMUSP00000135764;ENSMUSP00000108955;ENSMUSP00000134817;ENSMUSP00000073953;ENSMUSP00000135181;ENSMUSP00000135635;ENSMUSP00000108948;ENSMUSP00000108950;ENSMUSP00000135809;	108655
ENSMUSG00000035451	Foxa1	Fork_head	ENSMUSP00000041118;	15375
ENSMUSG00000001517	Foxm1	Fork_head	ENSMUSP00000073041;ENSMUSP00000107776;ENSMUSP00000145305;ENSMUSP00000145473;	14235
ENSMUSG00000056493	Foxk1	Fork_head	ENSMUSP00000072616;	17425
ENSMUSG00000055210	Foxd2	Fork_head	ENSMUSP00000066868;	17301
ENSMUSG00000029563	Foxp2	Fork_head	ENSMUSP00000111137;ENSMUSP00000111132;ENSMUSP00000111134;ENSMUSP00000031545;	114142
